"","Avg mph","site","Time Period Ending"
"883",28,30361338,07:14:00
"884",25,30361338,07:29:00
"885",27,30361338,07:44:00
"886",27,30361338,07:59:00
"887",27,30361338,08:14:00
"888",28,30361338,08:29:00
"889",17,30361338,08:44:00
"890",24,30361338,08:59:00
"891",28,30361338,09:14:00
"892",28,30361338,09:29:00
"893",25,30361338,09:44:00
"894",27,30361338,09:59:00
"895",22,30361338,10:14:00
"896",22,30361338,10:29:00
"897",26,30361338,10:44:00
"898",27,30361338,10:59:00
"899",27,30361338,11:14:00
"900",27,30361338,11:29:00
"901",27,30361338,11:44:00
"902",26,30361338,11:59:00
"903",27,30361338,12:14:00
"904",27,30361338,12:29:00
"905",26,30361338,12:44:00
"906",26,30361338,12:59:00
"907",28,30361338,13:14:00
"908",27,30361338,13:29:00
"909",28,30361338,13:44:00
"910",27,30361338,13:59:00
"911",27,30361338,14:14:00
"912",26,30361338,14:29:00
"913",26,30361338,14:44:00
"914",23,30361338,14:59:00
"915",7,30361338,15:14:00
"916",18,30361338,15:29:00
"917",23,30361338,15:44:00
"918",26,30361338,15:59:00
"919",24,30361338,16:14:00
"920",24,30361338,16:29:00
"921",27,30361338,16:44:00
"922",24,30361338,16:59:00
"923",28,30361338,17:14:00
"924",26,30361338,17:29:00
"925",27,30361338,17:44:00
